更新时间: 2025-11-25 03:23:20（北京时间）

更新时间,#genre#
2025-11-25 03:23:20,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV15,http://121.56.186.21:4022/rtp/239.29.0.206:5000$内蒙古电信
CCTV15,http://116.30.248.139:9876/rtp/239.77.1.120:5146$广东电信
CCTV15,http://116.30.248.139:9876/rtp/239.77.1.239:5146$广东电信
CCTV15,http://180.117.136.123:55555/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://113.110.203.130:55555/rtp/239.77.1.120:5146$广东电信
CCTV15,http://113.110.203.130:55555/rtp/239.77.1.239:5146$广东电信
CCTV15,http://111.227.41.176:7000/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://180.159.98.21:10001/rtp/239.45.1.200:5140$上海市电信
CCTV15,http://113.25.107.142:10000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://183.30.202.8:8000/rtp/239.77.1.120:5146$广东电信
CCTV15,http://183.30.202.8:8000/rtp/239.77.1.239:5146$广东电信
CCTV15,http://116.30.248.183:9876/rtp/239.77.1.120:5146$广东电信
CCTV15,http://116.30.248.183:9876/rtp/239.77.1.239:5146$广东电信
CCTV16,http://121.56.186.21:4022/rtp/239.29.1.146:5000$内蒙古电信
CCTV16,http://121.56.186.21:4022/rtp/239.29.1.149:5000$内蒙古电信
CCTV16,http://116.30.248.139:9876/rtp/239.77.0.165:5146$广东电信
CCTV16,http://180.117.136.123:55555/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://113.110.203.130:55555/rtp/239.77.0.165:5146$广东电信
CCTV16,http://180.159.98.21:10001/rtp/239.45.0.12:5140$上海市电信
CCTV16,http://113.25.107.142:10000/rtp/239.1.1.122:8122$山西电信
CCTV16,http://183.30.202.8:8000/rtp/239.77.0.165:5146$广东电信
CCTV16,http://116.30.248.183:9876/rtp/239.77.0.165:5146$广东电信
CCTV17,http://121.56.186.21:4022/rtp/239.29.1.145:5000$内蒙古电信
CCTV17,http://116.30.248.139:9876/rtp/239.77.0.198:5146$广东电信
CCTV17,http://116.30.248.139:9876/rtp/239.77.1.121:5146$广东电信
CCTV17,http://180.117.136.123:55555/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://113.110.203.130:55555/rtp/239.77.0.198:5146$广东电信
CCTV17,http://113.110.203.130:55555/rtp/239.77.1.121:5146$广东电信
CCTV17,http://111.227.41.176:7000/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://180.159.98.21:10001/rtp/239.45.3.52:5140$上海市电信
CCTV17,http://113.25.107.142:10000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://183.30.202.8:8000/rtp/239.77.0.198:5146$广东电信
CCTV17,http://183.30.202.8:8000/rtp/239.77.1.121:5146$广东电信
CCTV17,http://116.30.248.183:9876/rtp/239.77.0.198:5146$广东电信
CCTV17,http://116.30.248.183:9876/rtp/239.77.1.121:5146$广东电信
CCTV4K,http://116.30.248.139:9876/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://116.30.248.139:9876/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://113.110.203.130:55555/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://113.110.203.130:55555/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://180.159.98.21:10001/rtp/239.45.0.55:5140$上海市电信
CCTV4K,http://180.159.98.21:10001/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://183.30.202.8:8000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://183.30.202.8:8000/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://116.30.248.183:9876/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://116.30.248.183:9876/rtp/239.77.1.180:5146$广东电信
兵器科技,http://116.30.248.139:9876/rtp/239.253.43.9:5146$广东电信
兵器科技,http://116.30.248.139:9876/rtp/239.253.43.18:5146$广东电信
兵器科技,http://113.110.203.130:55555/rtp/239.253.43.9:5146$广东电信
兵器科技,http://113.110.203.130:55555/rtp/239.253.43.18:5146$广东电信
兵器科技,http://111.227.41.176:7000/rtp/239.254.201.225:7249$河北省电信
兵器科技,http://180.159.98.21:10001/rtp/239.45.1.74:5140$上海市电信
兵器科技,http://180.159.98.21:10001/rtp/239.45.0.45:5140$上海市电信
兵器科技,http://180.159.98.21:10001/rtp/233.18.204.178:5140$上海市电信
兵器科技,http://113.25.107.142:10000/rtp/239.1.1.97:8097$山西电信
兵器科技,http://183.30.202.8:8000/rtp/239.253.43.9:5146$广东电信
兵器科技,http://183.30.202.8:8000/rtp/239.253.43.18:5146$广东电信
兵器科技,http://116.30.248.183:9876/rtp/239.253.43.9:5146$广东电信
兵器科技,http://116.30.248.183:9876/rtp/239.253.43.18:5146$广东电信
风云音乐,http://116.30.248.139:9876/rtp/239.253.43.6:5146$广东电信
风云音乐,http://116.30.248.139:9876/rtp/239.253.43.29:5146$广东电信
风云音乐,http://113.110.203.130:55555/rtp/239.253.43.6:5146$广东电信
风云音乐,http://113.110.203.130:55555/rtp/239.253.43.29:5146$广东电信
风云音乐,http://111.227.41.176:7000/rtp/239.254.201.221:7259$河北省电信
